RoleKey,RoleID,RoleName,RoleType,SAPModule,RiskIndicator
390,ROLE_0390,MM_VENDOR_MANAGEMENT_0390,Business,MM,Red
391,ROLE_0391,MM_VENDOR_MANAGEMENT_0391,Business,MM,Green
392,ROLE_0392,MM_PURCHASING_0392,Business,MM,Green
393,ROLE_0393,FI_TREASURY_0393,Business,FI,Red
394,ROLE_0394,SD_SALES_0394,Composite,SD,Green
395,ROLE_0395,BW_DATA_ADMINISTRATION_0395,Business,BW,Red
396,ROLE_0396,HCM_PERSONNEL_ADMINISTRATION_0396,Composite,HCM,Green
397,ROLE_0397,HCM_HR_OPERATIONS_0397,Technical,HCM,Red
398,ROLE_0398,MM_INVENTORY_0398,Technical,MM,Red
399,ROLE_0399,HCM_PERSONNEL_ADMINISTRATION_0399,Business,HCM,Green
400,ROLE_0400,FI_AP_0400,Technical,FI,Green
401,ROLE_0401,HCM_PERSONNEL_ADMINISTRATION_0401,Business,HCM,Green
402,ROLE_0402,SD_BILLING_0402,Business,SD,Green
403,ROLE_0403,FI_GL_0403,Business,FI,Green
404,ROLE_0404,SD_CUSTOMER_MANAGEMENT_0404,Business,SD,Red
405,ROLE_0405,FI_GL_0405,Composite,FI,Green
406,ROLE_0406,MM_VENDOR_MANAGEMENT_0406,Business,MM,Red
407,ROLE_0407,HCM_PERSONNEL_ADMINISTRATION_0407,Business,HCM,Green
408,ROLE_0408,SD_SALES_0408,Business,SD,Green
409,ROLE_0409,CRM_CUSTOMER_SERVICE_0409,Business,CRM,Green
410,ROLE_0410,Basis_SYSTEM_ADMINISTRATION_0410,Business,Basis,Red
411,ROLE_0411,MM_INVENTORY_0411,Business,MM,Green
412,ROLE_0412,FI_ASSET_ACCOUNTING_0412,Technical,FI,Red
413,ROLE_0413,SD_BILLING_0413,Business,SD,Green
414,ROLE_0414,HCM_PAYROLL_0414,Composite,HCM,Green
415,ROLE_0415,FI_ASSET_ACCOUNTING_0415,Business,FI,Green
416,ROLE_0416,FI_ASSET_ACCOUNTING_0416,Business,FI,Green
417,ROLE_0417,MM_PURCHASING_0417,Business,MM,Green
418,ROLE_0418,HCM_PAYROLL_0418,Business,HCM,Green
419,ROLE_0419,HCM_PERSONNEL_ADMINISTRATION_0419,Business,HCM,Green
420,ROLE_0420,CRM_SALES_OPERATIONS_0420,Business,CRM,Green
421,ROLE_0421,FI_AP_0421,Business,FI,Green
422,ROLE_0422,FI_TREASURY_0422,Business,FI,Green
423,ROLE_0423,HCM_PAYROLL_0423,Business,HCM,Green
424,ROLE_0424,FI_AP_0424,Business,FI,Red
425,ROLE_0425,CRM_CUSTOMER_SERVICE_0425,Business,CRM,Green
426,ROLE_0426,BW_DATA_ADMINISTRATION_0426,Business,BW,Red
427,ROLE_0427,FI_AP_0427,Business,FI,Green
428,ROLE_0428,SD_CUSTOMER_MANAGEMENT_0428,Business,SD,Green
429,ROLE_0429,BW_DATA_ADMINISTRATION_0429,Business,BW,Green
430,ROLE_0430,HCM_PAYROLL_0430,Business,HCM,Green
431,ROLE_0431,Security_ROLE_ADMINISTRATION_0431,Business,Security,Red
432,ROLE_0432,MM_INVENTORY_0432,Technical,MM,Green
433,ROLE_0433,HCM_PAYROLL_0433,Business,HCM,Green
434,ROLE_0434,FI_AR_0434,Business,FI,Green
435,ROLE_0435,BW_REPORTING_0435,Composite,BW,Red
436,ROLE_0436,BW_REPORTING_0436,Composite,BW,Green
437,ROLE_0437,MM_PURCHASING_0437,Technical,MM,Green
438,ROLE_0438,CRM_CUSTOMER_SERVICE_0438,Technical,CRM,Green
439,ROLE_0439,MM_PURCHASING_0439,Business,MM,Green
440,ROLE_0440,CRM_SALES_OPERATIONS_0440,Business,CRM,Green
441,ROLE_0441,BW_REPORTING_0441,Composite,BW,Green
442,ROLE_0442,Security_USER_ADMINISTRATION_0442,Business,Security,Green
443,ROLE_0443,SD_SALES_0443,Business,SD,Red
444,ROLE_0444,CRM_CUSTOMER_SERVICE_0444,Business,CRM,Green
445,ROLE_0445,CRM_CUSTOMER_SERVICE_0445,Business,CRM,Green
446,ROLE_0446,Security_ACCESS_GOVERNANCE_0446,Business,Security,Green
447,ROLE_0447,BW_DATA_ADMINISTRATION_0447,Composite,BW,Green
448,ROLE_0448,BW_REPORTING_0448,Technical,BW,Red
449,ROLE_0449,Security_ACCESS_GOVERNANCE_0449,Business,Security,Red
450,ROLE_0450,Security_ACCESS_GOVERNANCE_0450,Business,Security,Green
451,ROLE_0451,FI_AP_0451,Composite,FI,Green
452,ROLE_0452,SD_BILLING_0452,Business,SD,Green
453,ROLE_0453,Security_ACCESS_GOVERNANCE_0453,Business,Security,Green
454,ROLE_0454,CRM_CUSTOMER_SERVICE_0454,Composite,CRM,Green
455,ROLE_0455,FI_AP_0455,Business,FI,Red
456,ROLE_0456,FI_GL_0456,Business,FI,Green
457,ROLE_0457,SD_SALES_0457,Business,SD,Green
458,ROLE_0458,FI_GL_0458,Business,FI,Red
459,ROLE_0459,MM_INVENTORY_0459,Business,MM,Red
460,ROLE_0460,Security_USER_ADMINISTRATION_0460,Composite,Security,Green
461,ROLE_0461,CRM_SALES_OPERATIONS_0461,Composite,CRM,Red
462,ROLE_0462,FI_GL_0462,Business,FI,Green
463,ROLE_0463,FI_TREASURY_0463,Business,FI,Red
464,ROLE_0464,Basis_TECHNICAL_OPERATIONS_0464,Business,Basis,Green
465,ROLE_0465,HCM_PERSONNEL_ADMINISTRATION_0465,Business,HCM,Green
466,ROLE_0466,HCM_PERSONNEL_ADMINISTRATION_0466,Technical,HCM,Green
467,ROLE_0467,MM_VENDOR_MANAGEMENT_0467,Business,MM,Green
468,ROLE_0468,HCM_PERSONNEL_ADMINISTRATION_0468,Business,HCM,Green
469,ROLE_0469,HCM_HR_OPERATIONS_0469,Business,HCM,Green
470,ROLE_0470,SD_BILLING_0470,Business,SD,Red
471,ROLE_0471,CRM_CUSTOMER_SERVICE_0471,Composite,CRM,Red
472,ROLE_0472,FI_TREASURY_0472,Technical,FI,Red
473,ROLE_0473,MM_VENDOR_MANAGEMENT_0473,Business,MM,Green
474,ROLE_0474,BW_REPORTING_0474,Business,BW,Green
475,ROLE_0475,MM_INVENTORY_0475,Business,MM,Red
476,ROLE_0476,MM_VENDOR_MANAGEMENT_0476,Business,MM,Green
477,ROLE_0477,MM_VENDOR_MANAGEMENT_0477,Composite,MM,Green
478,ROLE_0478,MM_INVENTORY_0478,Composite,MM,Red
479,ROLE_0479,SD_BILLING_0479,Business,SD,Green
480,ROLE_0480,HCM_PERSONNEL_ADMINISTRATION_0480,Composite,HCM,Red
481,ROLE_0481,FI_TREASURY_0481,Business,FI,Green
482,ROLE_0482,SD_BILLING_0482,Business,SD,Green
483,ROLE_0483,MM_INVENTORY_0483,Composite,MM,Green
484,ROLE_0484,FI_AR_0484,Business,FI,Green
485,ROLE_0485,FI_AR_0485,Business,FI,Green
486,ROLE_0486,FI_TREASURY_0486,Business,FI,Green
487,ROLE_0487,HCM_HR_OPERATIONS_0487,Composite,HCM,Green
488,ROLE_0488,Security_ACCESS_GOVERNANCE_0488,Composite,Security,Green
489,ROLE_0489,SD_SALES_0489,Business,SD,Green
490,ROLE_0490,HCM_PERSONNEL_ADMINISTRATION_0490,Business,HCM,Red
491,ROLE_0491,FI_AP_0491,Business,FI,Green
492,ROLE_0492,Security_USER_ADMINISTRATION_0492,Composite,Security,Red
493,ROLE_0493,SD_CUSTOMER_MANAGEMENT_0493,Business,SD,Green
494,ROLE_0494,Security_ROLE_ADMINISTRATION_0494,Business,Security,Green
495,ROLE_0495,SD_SALES_0495,Business,SD,Green
496,ROLE_0496,BW_DATA_ADMINISTRATION_0496,Composite,BW,Green
497,ROLE_0497,FI_GL_0497,Composite,FI,Red
498,ROLE_0498,HCM_PAYROLL_0498,Business,HCM,Green
499,ROLE_0499,HCM_PAYROLL_0499,Business,HCM,Red
500,ROLE_0500,MM_PURCHASING_0500,Business,MM,Green
501,ROLE_0501,MM_INVENTORY_0501,Business,MM,Green
502,ROLE_0502,FI_TREASURY_0502,Business,FI,Green
503,ROLE_0503,HCM_PAYROLL_0503,Business,HCM,Green
504,ROLE_0504,SD_BILLING_0504,Business,SD,Red
505,ROLE_0505,FI_ASSET_ACCOUNTING_0505,Business,FI,Red
506,ROLE_0506,FI_GL_0506,Composite,FI,Green
507,ROLE_0507,CRM_CUSTOMER_SERVICE_0507,Business,CRM,Green
508,ROLE_0508,MM_INVENTORY_0508,Composite,MM,Red
509,ROLE_0509,FI_AR_0509,Business,FI,Green
510,ROLE_0510,HCM_PAYROLL_0510,Business,HCM,Green
511,ROLE_0511,Security_USER_ADMINISTRATION_0511,Composite,Security,Green
512,ROLE_0512,Security_ACCESS_GOVERNANCE_0512,Business,Security,Green
513,ROLE_0513,FI_TREASURY_0513,Business,FI,Red
514,ROLE_0514,HCM_PERSONNEL_ADMINISTRATION_0514,Composite,HCM,Green
515,ROLE_0515,Security_USER_ADMINISTRATION_0515,Business,Security,Green
516,ROLE_0516,SD_SALES_0516,Business,SD,Green
517,ROLE_0517,SD_CUSTOMER_MANAGEMENT_0517,Business,SD,Red
518,ROLE_0518,FI_TREASURY_0518,Business,FI,Red
519,ROLE_0519,MM_VENDOR_MANAGEMENT_0519,Business,MM,Green
520,ROLE_0520,SD_SALES_0520,Business,SD,Red
521,ROLE_0521,FI_TREASURY_0521,Business,FI,Green
522,ROLE_0522,FI_GL_0522,Technical,FI,Green
523,ROLE_0523,FI_AR_0523,Business,FI,Green
524,ROLE_0524,HCM_PERSONNEL_ADMINISTRATION_0524,Business,HCM,Green
525,ROLE_0525,Security_USER_ADMINISTRATION_0525,Business,Security,Green
526,ROLE_0526,BW_REPORTING_0526,Composite,BW,Red
527,ROLE_0527,MM_INVENTORY_0527,Business,MM,Green
528,ROLE_0528,FI_TREASURY_0528,Composite,FI,Green
529,ROLE_0529,HCM_HR_OPERATIONS_0529,Business,HCM,Red
530,ROLE_0530,CRM_SALES_OPERATIONS_0530,Business,CRM,Green
531,ROLE_0531,SD_SALES_0531,Business,SD,Green
532,ROLE_0532,MM_VENDOR_MANAGEMENT_0532,Business,MM,Green
533,ROLE_0533,FI_AP_0533,Business,FI,Green
534,ROLE_0534,MM_VENDOR_MANAGEMENT_0534,Business,MM,Green
535,ROLE_0535,SD_CUSTOMER_MANAGEMENT_0535,Business,SD,Red
536,ROLE_0536,MM_VENDOR_MANAGEMENT_0536,Business,MM,Green
537,ROLE_0537,BW_REPORTING_0537,Business,BW,Green
538,ROLE_0538,MM_VENDOR_MANAGEMENT_0538,Business,MM,Red
539,ROLE_0539,HCM_PERSONNEL_ADMINISTRATION_0539,Technical,HCM,Red
540,ROLE_0540,CRM_SALES_OPERATIONS_0540,Business,CRM,Green
541,ROLE_0541,MM_INVENTORY_0541,Business,MM,Green
542,ROLE_0542,MM_INVENTORY_0542,Business,MM,Green
543,ROLE_0543,FI_AP_0543,Business,FI,Red
544,ROLE_0544,BW_REPORTING_0544,Business,BW,Green
545,ROLE_0545,MM_INVENTORY_0545,Business,MM,Red
546,ROLE_0546,FI_AP_0546,Business,FI,Red
547,ROLE_0547,SD_SALES_0547,Business,SD,Red
548,ROLE_0548,FI_AP_0548,Business,FI,Red
549,ROLE_0549,MM_INVENTORY_0549,Business,MM,Green
550,ROLE_0550,MM_VENDOR_MANAGEMENT_0550,Technical,MM,Green
551,ROLE_0551,FI_AP_0551,Business,FI,Red
552,ROLE_0552,HCM_PERSONNEL_ADMINISTRATION_0552,Business,HCM,Red
553,ROLE_0553,BW_DATA_ADMINISTRATION_0553,Technical,BW,Red
554,ROLE_0554,Security_USER_ADMINISTRATION_0554,Business,Security,Green
555,ROLE_0555,SD_CUSTOMER_MANAGEMENT_0555,Business,SD,Green
556,ROLE_0556,HCM_HR_OPERATIONS_0556,Business,HCM,Green
557,ROLE_0557,HCM_HR_OPERATIONS_0557,Technical,HCM,Green
558,ROLE_0558,FI_GL_0558,Business,FI,Green
559,ROLE_0559,SD_CUSTOMER_MANAGEMENT_0559,Business,SD,Green
560,ROLE_0560,MM_VENDOR_MANAGEMENT_0560,Composite,MM,Red
561,ROLE_0561,Security_USER_ADMINISTRATION_0561,Composite,Security,Green
562,ROLE_0562,SD_BILLING_0562,Composite,SD,Green
563,ROLE_0563,Basis_SYSTEM_ADMINISTRATION_0563,Business,Basis,Green
564,ROLE_0564,Security_USER_ADMINISTRATION_0564,Business,Security,Red
565,ROLE_0565,FI_TREASURY_0565,Business,FI,Green
566,ROLE_0566,BW_DATA_ADMINISTRATION_0566,Composite,BW,Green
567,ROLE_0567,MM_INVENTORY_0567,Technical,MM,Green
568,ROLE_0568,CRM_CUSTOMER_SERVICE_0568,Composite,CRM,Red
569,ROLE_0569,FI_AP_0569,Business,FI,Green
570,ROLE_0570,FI_GL_0570,Business,FI,Red
571,ROLE_0571,HCM_PERSONNEL_ADMINISTRATION_0571,Technical,HCM,Green
572,ROLE_0572,MM_PURCHASING_0572,Technical,MM,Red
573,ROLE_0573,Security_ACCESS_GOVERNANCE_0573,Business,Security,Green
574,ROLE_0574,MM_VENDOR_MANAGEMENT_0574,Technical,MM,Red
575,ROLE_0575,MM_INVENTORY_0575,Business,MM,Green
576,ROLE_0576,Security_ROLE_ADMINISTRATION_0576,Business,Security,Green
577,ROLE_0577,Security_USER_ADMINISTRATION_0577,Business,Security,Green
578,ROLE_0578,FI_GL_0578,Business,FI,Green
579,ROLE_0579,FI_AR_0579,Business,FI,Green
580,ROLE_0580,Security_USER_ADMINISTRATION_0580,Business,Security,Green
581,ROLE_0581,Security_ACCESS_GOVERNANCE_0581,Business,Security,Red
582,ROLE_0582,SD_SALES_0582,Business,SD,Red
583,ROLE_0583,HCM_PERSONNEL_ADMINISTRATION_0583,Business,HCM,Green
584,ROLE_0584,CRM_CUSTOMER_SERVICE_0584,Business,CRM,Green
585,ROLE_0585,SD_SALES_0585,Business,SD,Green
586,ROLE_0586,SD_CUSTOMER_MANAGEMENT_0586,Business,SD,Green
587,ROLE_0587,Security_USER_ADMINISTRATION_0587,Business,Security,Green
588,ROLE_0588,MM_PURCHASING_0588,Business,MM,Red
589,ROLE_0589,MM_VENDOR_MANAGEMENT_0589,Business,MM,Green
590,ROLE_0590,MM_VENDOR_MANAGEMENT_0590,Business,MM,Green
591,ROLE_0591,Security_ACCESS_GOVERNANCE_0591,Composite,Security,Red
592,ROLE_0592,FI_ASSET_ACCOUNTING_0592,Business,FI,Green
593,ROLE_0593,Security_ACCESS_GOVERNANCE_0593,Business,Security,Green
594,ROLE_0594,FI_AP_0594,Composite,FI,Green
595,ROLE_0595,HCM_PAYROLL_0595,Business,HCM,Green
596,ROLE_0596,FI_ASSET_ACCOUNTING_0596,Business,FI,Green
597,ROLE_0597,SD_CUSTOMER_MANAGEMENT_0597,Business,SD,Green
598,ROLE_0598,Security_ROLE_ADMINISTRATION_0598,Business,Security,Green
599,ROLE_0599,SD_CUSTOMER_MANAGEMENT_0599,Composite,SD,Green
600,ROLE_0600,HCM_HR_OPERATIONS_0600,Business,HCM,Red
601,ROLE_0601,HCM_PERSONNEL_ADMINISTRATION_0601,Business,HCM,Green
602,ROLE_0602,BW_DATA_ADMINISTRATION_0602,Business,BW,Green
603,ROLE_0603,FI_ASSET_ACCOUNTING_0603,Business,FI,Green
604,ROLE_0604,SD_SALES_0604,Business,SD,Green
605,ROLE_0605,BW_REPORTING_0605,Composite,BW,Green
606,ROLE_0606,FI_GL_0606,Composite,FI,Red
607,ROLE_0607,BW_DATA_ADMINISTRATION_0607,Composite,BW,Red
608,ROLE_0608,BW_DATA_ADMINISTRATION_0608,Composite,BW,Green
609,ROLE_0609,FI_AP_0609,Business,FI,Red
610,ROLE_0610,MM_INVENTORY_0610,Business,MM,Red
611,ROLE_0611,MM_INVENTORY_0611,Business,MM,Green
612,ROLE_0612,SD_CUSTOMER_MANAGEMENT_0612,Business,SD,Green
613,ROLE_0613,MM_VENDOR_MANAGEMENT_0613,Business,MM,Red
614,ROLE_0614,FI_AR_0614,Business,FI,Green
615,ROLE_0615,Security_USER_ADMINISTRATION_0615,Technical,Security,Red
616,ROLE_0616,MM_VENDOR_MANAGEMENT_0616,Composite,MM,Green
617,ROLE_0617,Security_USER_ADMINISTRATION_0617,Business,Security,Red
618,ROLE_0618,CRM_CUSTOMER_SERVICE_0618,Technical,CRM,Green
619,ROLE_0619,MM_VENDOR_MANAGEMENT_0619,Business,MM,Green
620,ROLE_0620,MM_PURCHASING_0620,Composite,MM,Green
621,ROLE_0621,HCM_HR_OPERATIONS_0621,Business,HCM,Green
622,ROLE_0622,FI_ASSET_ACCOUNTING_0622,Business,FI,Red
623,ROLE_0623,SD_BILLING_0623,Technical,SD,Green
624,ROLE_0624,CRM_CUSTOMER_SERVICE_0624,Business,CRM,Red
625,ROLE_0625,FI_AR_0625,Composite,FI,Red
626,ROLE_0626,SD_SALES_0626,Business,SD,Green
627,ROLE_0627,BW_DATA_ADMINISTRATION_0627,Business,BW,Green
628,ROLE_0628,HCM_PERSONNEL_ADMINISTRATION_0628,Composite,HCM,Green
629,ROLE_0629,HCM_PERSONNEL_ADMINISTRATION_0629,Business,HCM,Green
630,ROLE_0630,HCM_PERSONNEL_ADMINISTRATION_0630,Business,HCM,Red
631,ROLE_0631,HCM_HR_OPERATIONS_0631,Business,HCM,Green
632,ROLE_0632,FI_GL_0632,Business,FI,Green
633,ROLE_0633,SD_BILLING_0633,Composite,SD,Red
634,ROLE_0634,MM_VENDOR_MANAGEMENT_0634,Business,MM,Red
635,ROLE_0635,SD_CUSTOMER_MANAGEMENT_0635,Business,SD,Green
636,ROLE_0636,HCM_PERSONNEL_ADMINISTRATION_0636,Business,HCM,Green
637,ROLE_0637,MM_INVENTORY_0637,Business,MM,Red
638,ROLE_0638,MM_PURCHASING_0638,Composite,MM,Green
639,ROLE_0639,FI_GL_0639,Technical,FI,Green
640,ROLE_0640,Security_USER_ADMINISTRATION_0640,Business,Security,Green
641,ROLE_0641,BW_REPORTING_0641,Business,BW,Red
642,ROLE_0642,MM_VENDOR_MANAGEMENT_0642,Composite,MM,Green
643,ROLE_0643,SD_BILLING_0643,Composite,SD,Green
644,ROLE_0644,SD_BILLING_0644,Business,SD,Red
645,ROLE_0645,SD_BILLING_0645,Business,SD,Green
646,ROLE_0646,HCM_PERSONNEL_ADMINISTRATION_0646,Composite,HCM,Red
647,ROLE_0647,SD_CUSTOMER_MANAGEMENT_0647,Business,SD,Green
648,ROLE_0648,FI_AP_0648,Composite,FI,Green
649,ROLE_0649,SD_SALES_0649,Business,SD,Green
650,ROLE_0650,FI_ASSET_ACCOUNTING_0650,Business,FI,Red
